X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-79.906185,43.262273,train,0.0029293572871865237,87.26362970193205,0.8042525051081659
-79.8918,43.289342,train,0.0029293572871865237,87.26362970193205,0.8042525051081659
-79.833645,43.374408,train,0.001407255908752853,72.18277897669687,0.6637267220009484
-80.540615,43.462936,train,0.0033570485809609253,89.22215356409714,0.8248222722762283
-75.723292,45.380341,train,0.0311416680085788,100.0,0.9776177701186728
-75.724739,45.400687,train,0.0311416680085788,100.0,0.9776177701186728
-122.622177,49.164083,train,0.001313320945982372,70.63718992662868,0.6481377992723104
-122.622081,49.164101,train,0.001313320945982372,70.63718992662868,0.6481377992723104
-122.763733,49.274467,train,0.00244637200844161,84.983951946234,0.7743276288415861
-82.143399,42.410617,train,5.759700238708291E-4,39.004598766661715,0.4468527890546892
-79.211533,43.155456,train,0.004838695330584273,94.97069462756154,0.8715742144324927
-79.92163,43.198338,train,0.0027904073491935148,86.73944956429176,0.7964888423965201
-79.77482,43.354247,train,0.001407255908752853,72.18277897669687,0.6637267220009484
-80.584862,43.467526,train,0.001840055122745793,79.54409899650308,0.720732958441634
-79.71743,43.478005,train,0.0035556289544104794,89.62878828243643,0.83297173623055
-80.224185,43.548387,train,0.0014843990785680986,73.75634749070151,0.6755322453789149
-79.38978,43.640887,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.406083,43.662637,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.285645,43.6865,train,0.004901176253344586,95.01149512553138,0.8730034878746035
-76.966569,44.225954,train,1.1941708277296037E-4,7.683399857607059,0.14346202159679747
-75.690778,45.43408,train,0.03232573904773288,100.0,0.9784199244561999
-75.69552,45.436584,train,0.03232573904773288,100.0,0.9784199244561999
-75.794726,45.54267,train,3.917054687058809E-4,26.787818181008365,0.3545861563652731
-122.3629,49.051689,train,3.448196192426088E-4,23.159339354281975,0.3259788164750004
-122.91711,49.216262,train,0.0020586065844151263,81.37365710287132,0.742754375450581
-122.633537,49.225513,train,0.0012605424293705677,69.17879503572145,0.638727830854489
-79.106175,43.15793,train,0.005367677927959915,95.89000550692924,0.8827465297736191
-79.815072,43.393303,train,0.0029289339514439318,87.25774952298079,0.804229751424939
-75.603367,45.453653,train,1.5180937345332825E-4,9.599475962727043,0.17554531479332897
-122.642122,49.171318,train,0.0019542927535930545,80.51228401819117,0.7326938008267045
-122.958091,49.286461,train,0.0012546525269312217,69.12624781421292,0.6376463992592755
-123.081322,49.35068,train,3.903144275108858E-4,26.720798510040336,0.3537724126887902
-82.976799,42.258072,train,0.0037446946704046175,91.8386575800222,0.8400559975806084
-79.731033,43.143936,train,0.0017811937089268618,78.95049920537288,0.714142372567142
-79.840162,43.36237,train,0.001407255908752853,72.18277897669687,0.6637267220009484
-79.764303,43.369086,train,0.001407255908752853,72.18277897669687,0.6637267220009484
-80.318231,43.442358,train,0.003393271892428809,89.2824163667153,0.8263676037938884
-80.195366,43.505153,train,0.0011381628252009129,65.27998524380473,0.6148439943481625
-79.424288,43.649689,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.412093,43.651931,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.466415,43.652118,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.428992,43.657001,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.325163,43.667307,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.364349,43.668555,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.40822,43.67217,train,0.0035556289544104794,89.62878828243643,0.83297173623055
-79.435841,43.685918,train,0.0035556289544104794,89.62878828243643,0.83297173623055
-79.377908,43.693522,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.379188,43.694308,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-79.396061,43.701114,train,0.0035556289544104794,89.62878828243643,0.83297173623055
-79.431237,43.839213,train,0.0010040868073285883,60.184397842340296,0.5847693093525869
-79.431205,43.83937,train,0.0010040868073285883,60.184397842340296,0.5847693093525869
-75.735667,45.380729,train,0.0311416680085788,100.0,0.9776177701186728
-122.838446,49.140342,train,0.0014359439650351476,73.00287594079064,0.6682159621118745
-122.805113,49.161186,train,0.0014359439650351476,73.00287594079064,0.6682159621118745
-122.638138,49.176688,train,0.0019542927535930545,80.51228401819117,0.7326938008267045
-122.637772,49.176712,train,0.0019542927535930545,80.51228401819117,0.7326938008267045
-122.637978,49.17672,train,0.0019542927535930545,80.51228401819117,0.7326938008267045
-122.638053,49.176767,train,0.0019542927535930545,80.51228401819117,0.7326938008267045
-122.947412,49.223728,train,0.0020586065844151263,81.37365710287132,0.742754375450581
-124.091867,49.243338,train,9.889938441516295E-4,59.56849808697679,0.5810870736512812
-122.776823,49.25278,train,0.00244637200844161,84.983951946234,0.7743276288415861
-123.074355,49.261172,train,0.0020586065844151263,81.37365710287132,0.742754375450581
-123.085307,49.277394,train,0.0020586065844151263,81.37365710287132,0.742754375450581
-123.154598,49.335358,train,2.960787861510531E-4,19.697111804874435,0.2934213289951363
-123.067385,49.345723,train,3.903144275108858E-4,26.720798510040336,0.3537724126887902
-81.224785,43.033568,train,0.0012651608114023136,69.21999828927825,0.639571296882515
-80.297007,43.369526,train,9.295136206065485E-4,56.9568336483131,0.5659168079152453
-79.479187,43.64603,train,0.004514378763317008,94.75890849686716,0.8636063997739152
-76.264995,44.916272,train,2.0975463809621862E-4,13.85875129229972,0.22731897319828637
-122.627054,49.163295,train,0.001313320945982372,70.63718992662868,0.6481377992723104
