X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-79.411653,43.830575,train,0.02703984368244113,100.0,0.855806374844813
-79.411688,43.83058,train,0.02703984368244113,100.0,0.855806374844813
-79.43113,43.839203,train,7.863857407161843E-4,9.461169895520232,0.14720008431880602
-79.431275,43.839458,train,7.863857407161843E-4,9.461169895520232,0.14720008431880602
-75.846847,45.248828,train,0.046800541185247305,100.0,0.911288535022094
-122.622038,49.16545,train,6.90244046363075E-4,8.483036605635895,0.13157155028077722
-122.637833,49.176513,train,1.269185301453195E-4,1.8602796110335096,0.027102988648403995
-121.950754,49.183153,train,1.269185301453195E-4,1.8602796110335096,0.027102988648403995
-122.780312,49.229053,train,1.6747997543333622E-5,0.3631667698575345,0.0036626429411210693
-122.899134,49.232002,train,5.4797967046771346E-5,1.045781634695189,0.011884946809900395
-83.095967,42.1043,train,0.022220037766876626,98.28494258195208,0.8298507893731121
-82.882485,42.283254,train,0.04573160233693705,100.0,0.9094028354709955
-81.203375,42.798635,train,0.07392316205744112,100.0,0.9419475056547866
-81.247712,42.961767,train,0.086307953227789,100.0,0.9498600907947389
-79.891803,43.233292,train,53.038608318324115,100.0,0.9999141094672614
-80.005661,43.264963,train,0.9306951696463133,100.0,0.9951286817478673
-79.797455,43.406197,train,11.610449809278894,100.0,0.9996077569184931
-79.475728,43.664456,train,0.5864194201358108,100.0,0.9922908699658365
-122.300299,49.136314,train,8.648702650660557E-4,10.455840511251662,0.15954731965970492
-97.162043,49.869231,train,8.128115342620228E-9,3.6389584039236197E-4,1.7840801578364462E-6
-81.257933,42.966113,train,0.026636336451510208,100.0,0.8539410658283597
-79.237463,43.163749,train,16.760626246088894,100.0,0.999728251945484
-79.906185,43.262273,train,14.864009073516167,100.0,0.9996935880739181
-79.8918,43.289342,train,14.864009073516167,100.0,0.9996935880739181
-79.833645,43.374408,train,0.7429706372190928,100.0,0.9939053593790101
-80.540615,43.462936,train,37.19439834276875,100.0,0.9998775259755176
-75.723292,45.380341,train,0.011051902568328553,74.21205969854852,0.708100870124066
-75.724739,45.400687,train,0.011051902568328553,74.21205969854852,0.708100870124066
-122.622177,49.164083,train,6.90244046363075E-4,8.483036605635895,0.13157155028077722
-122.622081,49.164101,train,6.90244046363075E-4,8.483036605635895,0.13157155028077722
-81.332594,42.986615,train,0.026636336451510208,100.0,0.8539410658283597
-79.211533,43.155456,train,16.760626246088894,100.0,0.999728251945484
-79.92163,43.198338,train,50.93378969366839,100.0,0.9999105603925739
-79.77482,43.354247,train,11.610449809278894,100.0,0.9996077569184931
